Tue Jun  9 11:52:52 2020    profile.out

         524392 function calls (519748 primitive calls) in 77.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.024    0.024 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/compat/py3k.py:4(<module>)
        1    0.002    0.002    0.022    0.022 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pathlib.py:1(<module>)
        1    0.003    0.003    0.022    0.022 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/spatial/_spherical_voronoi.py:6(<module>)
        1    0.000    0.000    0.022    0.022 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/specifiers.py:275(Specifier)
        1    0.003    0.003    0.022    0.022 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/components/__init__.py:1(<module>)
      396    0.022    0.000    0.022    0.000 {posix.stat}
      220    0.001    0.000    0.020    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:1325(safe_version)
      314    0.020    0.000    0.020    0.000 {cvxopt.blas.gemv}
      153    0.004    0.000    0.020    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/posixpath.py:387(_joinrealpath)
      219    0.001    0.000    0.020    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/genericpath.py:46(isdir)
        1    0.000    0.000    0.020    0.020 /software/anaconda2/envs/netbfe/lib/python2.7/tokenize.py:23(<module>)
        1    0.005    0.005    0.019    0.019 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/spatial/distance.py:73(<module>)
       20    0.016    0.001    0.019    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/collections.py:305(namedtuple)
        1    0.001    0.001    0.019    0.019 /software/anaconda2/envs/netbfe/lib/python2.7/email/parser.py:5(<module>)
        1    0.003    0.003    0.019    0.019 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/utils/__init__.py:1(<module>)
        1    0.001    0.001    0.018    0.018 /software/anaconda2/envs/netbfe/lib/python2.7/email/feedparser.py:20(<module>)
        1    0.006    0.006    0.018    0.018 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/bipartite/__init__.py:75(<module>)
        1    0.002    0.002    0.017    0.017 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/testing/__init__.py:7(<module>)
        1    0.002    0.002    0.016    0.016 /software/anaconda2/envs/netbfe/lib/python2.7/urllib.py:23(<module>)
      669    0.009    0.000    0.016    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.py:145(update)
        1    0.005    0.005    0.016    0.016 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/classes/__init__.py:1(<module>)
        1    0.000    0.000    0.016    0.016 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:5399(pyparsing_common)
      335    0.002    0.000    0.016    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.py:55(getfullargspec)
      157    0.016    0.000    0.016    0.000 {cvxopt.misc_solvers.unpack}
        1    0.000    0.000    0.015    0.015 /software/anaconda2/envs/netbfe/lib/python2.7/platform.py:10(<module>)
        1    0.001    0.001    0.014    0.014 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:4(<module>)
      440    0.001    0.000    0.014    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:74(__init__)
    87775    0.014    0.000    0.014    0.000 {math.sqrt}
        1    0.001    0.001    0.014    0.014 /software/anaconda2/envs/netbfe/lib/python2.7/email/message.py:5(<module>)
        1    0.004    0.004    0.014    0.014 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/community/__init__.py:17(<module>)
        1    0.009    0.009    0.013    0.013 /software/anaconda2/envs/netbfe/lib/python2.7/collections.py:11(<module>)
      440    0.004    0.000    0.013    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:131(_legacy_cmpkey)
        1    0.006    0.006    0.013    0.013 /software/anaconda2/envs/netbfe/lib/python2.7/xml/etree/cElementTree.py:3(<module>)
        1    0.007    0.007    0.013    0.013 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/special/__init__.py:635(<module>)
        1    0.002    0.002    0.013    0.013 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/dag.py:20(<module>)
      345    0.003    0.000    0.013    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/inspect.py:813(getargspec)
      529    0.002    0.000    0.013    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:228(_compile_charset)
     1032    0.002    0.000    0.012    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/posixpath.py:132(islink)
      131    0.003    0.000    0.012    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:433(_compile_info)
      145    0.012    0.000    0.012    0.000 {imp.find_module}
       29    0.000    0.000    0.012    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/utils/decorators.py:104(open_file)
      471    0.001    0.000    0.012    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:1167(copy)
        1    0.001    0.001    0.012    0.012 /software/anaconda2/envs/netbfe/lib/python2.7/email/charset.py:6(<module>)
        1    0.002    0.002    0.012    0.012 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/connectivity/connectivity.py:4(<module>)
        1    0.003    0.003    0.012    0.012 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/tree/__init__.py:1(<module>)
       12    0.000    0.000    0.011    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:4251(__init__)
        1    0.000    0.000    0.011    0.011 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/random_graphs.py:11(<module>)
    36/11    0.000    0.000    0.011    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3743(leaveWhitespace)
2593/2589    0.007    0.000    0.011    0.000 {method 'join' of 'str' objects}
      472    0.002    0.000    0.011    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/copy.py:66(copy)
        1    0.003    0.003    0.011    0.011 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/isolve/__init__.py:1(<module>)
        1    0.000    0.000    0.011    0.011 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/connectivity/edge_augmentation.py:23(<module>)
        1    0.003    0.003    0.011    0.011 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/numeric.py:1(<module>)
        1    0.001    0.001    0.010    0.010 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/utils/misc.py:10(<module>)
